,day_of_week,hour,quantities,item_count,food_prep_time_minutes
43835,Thursday,21.75,15.0,9,38
43836,Wednesday,18.75,9.0,5,30
43837,Friday,17.75,3.0,1,26
43838,Friday,18.75,15.0,7,41
43839,Thursday,20.75,9.0,8,27
43840,Friday,6.75,6.0,3,22
43841,Thursday,16.75,11.0,8,20
43842,Saturday,12.75,14.0,8,42
43843,Wednesday,11.75,1.0,1,11
43844,Sunday,18.75,10.0,6,49
43845,Tuesday,12.75,19.0,10,34
43846,Thursday,14.75,5.0,3,41
43847,Friday,20.75,14.0,7,41
43848,Wednesday,14.75,9.0,7,17
43849,Monday,15.75,5.0,5,14
43850,Saturday,16.75,4.0,4,16
43851,Friday,11.75,17.0,9,41
43852,Monday,19.75,5.0,5,15
43853,Sunday,19.75,10.0,8,33
43854,Sunday,10.75,3.0,2,23
43855,Saturday,12.75,13.0,7,34
43856,Friday,17.75,5.0,4,20
43857,Tuesday,13.75,8.0,5,17
43858,Wednesday,17.75,6.0,5,15
43859,Wednesday,3.75,2.0,1,17
43860,Saturday,18.75,6.0,4,22
43861,Sunday,14.75,5.0,4,22
43862,Friday,9.75,3.0,3,8
43863,Friday,5.75,8.0,7,14
43864,Monday,10.75,3.0,2,21
43865,Wednesday,10.75,8.0,5,24
43866,Tuesday,17.75,5.0,3,20
43867,Monday,14.75,11.0,7,29
43868,Saturday,22.75,2.0,1,12
43869,Thursday,13.75,12.0,8,42
43870,Tuesday,12.75,1.0,1,11
43871,Sunday,16.75,9.0,6,24
43872,Thursday,16.75,13.0,10,27
43873,Thursday,15.75,1.0,1,10
43874,Wednesday,1.75,12.0,10,16
43875,Friday,14.75,8.0,6,12
43876,Thursday,19.75,4.0,2,44
43877,Sunday,6.75,8.0,6,19
43878,Wednesday,13.75,9.0,6,23
43879,Wednesday,18.75,5.0,4,16
43880,Friday,21.75,8.0,7,15
43881,Tuesday,21.75,11.0,6,36
43882,Wednesday,18.75,7.0,3,39
43883,Saturday,20.75,6.0,2,46
43884,Thursday,19.75,3.0,3,13
43885,Thursday,19.75,9.0,5,45
43886,Sunday,1.75,1.0,1,4
43887,Friday,13.75,16.0,10,30
43888,Thursday,19.75,12.0,7,40
43889,Thursday,17.75,2.0,2,13
43890,Saturday,16.75,2.0,2,14
43891,Thursday,20.75,10.0,10,16
43892,Thursday,7.75,10.0,7,28
43893,Thursday,5.75,10.0,7,26
43894,Thursday,17.75,7.0,3,37
43895,Friday,9.75,9.0,7,26
43896,Friday,14.75,10.0,10,15
43897,Friday,4.75,7.0,7,10
43898,Friday,14.75,11.0,6,31
43899,Saturday,12.75,11.0,9,41
43900,Tuesday,19.75,13.0,7,40
43901,Friday,20.75,4.0,3,14
43902,Tuesday,20.75,13.0,9,37
43903,Thursday,13.75,10.0,9,13
43904,Tuesday,22.75,13.0,9,37
43905,Saturday,16.75,14.0,9,27
43906,Wednesday,6.75,11.0,8,20
43907,Wednesday,19.75,2.0,2,10
43908,Saturday,20.75,13.0,8,30
43909,Tuesday,14.75,2.0,2,8
43910,Friday,11.75,10.0,8,16
43911,Saturday,6.75,2.0,1,13
43912,Monday,12.75,15.0,8,45
43913,Tuesday,23.75,3.0,1,34
43914,Thursday,20.75,10.0,8,24
43915,Saturday,13.75,9.0,7,44
43916,Tuesday,23.75,8.0,8,12
43917,Wednesday,18.75,2.0,1,17
43918,Thursday,13.75,2.0,2,10
43919,Thursday,10.75,11.0,6,32
43920,Friday,20.75,16.0,9,28
43921,Thursday,18.75,12.0,8,42
43922,Friday,22.75,12.0,8,28
43923,Tuesday,0.75,12.0,10,24
43924,Wednesday,16.75,12.0,10,28
43925,Wednesday,19.75,5.0,5,11
43926,Monday,4.75,4.0,4,9
43927,Wednesday,23.75,11.0,7,30
43928,Wednesday,14.75,8.0,6,23
43929,Thursday,14.75,7.0,6,27
43930,Wednesday,0.75,11.0,7,33
43931,Saturday,13.75,13.0,9,24
43932,Friday,19.75,8.0,5,41
43933,Monday,13.75,7.0,3,25
43934,Wednesday,10.75,1.0,1,9
43935,Thursday,20.75,16.0,10,42
43936,Friday,20.75,6.0,5,23
43937,Friday,13.75,11.0,9,22
43938,Thursday,20.75,10.0,9,18
43939,Tuesday,11.75,16.0,10,26
43940,Sunday,18.75,1.0,1,12
43941,Friday,17.75,15.0,10,37
43942,Wednesday,16.75,13.0,9,31
43943,Tuesday,0.75,11.0,9,25
43944,Sunday,11.75,5.0,5,15
43945,Monday,12.75,6.0,4,38
43946,Friday,3.75,8.0,5,28
43947,Saturday,1.75,5.0,5,11
43948,Friday,13.75,8.0,7,20
43949,Wednesday,17.75,13.0,6,41
43950,Wednesday,18.75,14.0,10,31
43951,Thursday,9.75,1.0,1,9
43952,Thursday,1.75,7.0,6,12
43953,Monday,19.75,9.0,6,41
43954,Saturday,7.75,2.0,2,10
43955,Saturday,19.75,12.0,7,29
43956,Monday,18.75,2.0,2,10
43957,Wednesday,15.75,15.0,9,34
43958,Thursday,6.75,1.0,1,11
43959,Thursday,16.75,6.0,5,21
43960,Thursday,14.75,1.0,1,9
43961,Saturday,20.75,4.0,3,20
43962,Wednesday,14.75,10.0,5,34
43963,Friday,19.75,8.0,6,27
43964,Thursday,20.75,7.0,3,45
43965,Thursday,23.75,8.0,4,44
43966,Saturday,23.75,8.0,7,22
43967,Tuesday,19.75,2.0,2,14
43968,Saturday,18.75,7.0,6,13
43969,Thursday,23.75,5.0,4,12
43970,Wednesday,20.75,8.0,4,34
43971,Friday,8.75,11.0,7,35
43972,Saturday,20.75,6.0,6,17
43973,Wednesday,18.75,12.0,10,33
43974,Tuesday,19.75,2.0,1,31
43975,Thursday,13.75,12.0,7,38
43976,Tuesday,14.75,1.0,1,12
43977,Sunday,9.75,16.0,8,32
43978,Friday,12.75,11.0,7,18
43979,Friday,11.75,8.0,5,24
43980,Sunday,9.75,9.0,7,24
43981,Tuesday,19.75,4.0,3,27
43982,Tuesday,19.75,1.0,1,12
43983,Monday,23.75,2.0,2,15
43984,Tuesday,14.75,13.0,9,28
43985,Thursday,14.75,4.0,2,24
43986,Thursday,16.75,9.0,9,13
43987,Saturday,12.75,13.0,8,38
43988,Friday,22.75,9.0,5,31
43989,Saturday,9.75,10.0,8,25
43990,Tuesday,20.75,7.0,6,23
43991,Saturday,10.75,2.0,1,22
43992,Wednesday,6.75,2.0,2,14
43993,Friday,2.75,13.0,10,29
43994,Thursday,16.75,11.0,8,26
43995,Tuesday,2.75,13.0,6,36
43996,Tuesday,23.75,8.0,8,12
43997,Wednesday,18.75,15.0,9,37
43998,Thursday,22.75,8.0,8,15
43999,Wednesday,10.75,18.0,10,41
44000,Friday,6.75,8.0,5,20
44001,Thursday,14.75,4.0,3,21
44002,Thursday,20.75,2.0,2,7
44003,Tuesday,15.75,7.0,4,41
44004,Sunday,22.75,9.0,7,29
44005,Thursday,21.75,3.0,1,33
44006,Tuesday,18.75,12.0,8,32
44007,Friday,12.75,10.0,8,39
44008,Sunday,21.75,11.0,8,23
44009,Tuesday,4.75,4.0,2,16
44010,Saturday,9.75,11.0,8,28
44011,Saturday,15.75,5.0,4,25
44012,Thursday,19.75,14.0,7,37
44013,Friday,18.75,11.0,10,16
44014,Thursday,17.75,1.0,1,13
44015,Sunday,18.75,3.0,2,22
44016,Monday,17.75,5.0,2,41
44017,Sunday,12.75,16.0,10,27
44018,Thursday,14.75,4.0,4,15
44019,Saturday,23.75,8.0,5,33
44020,Thursday,14.75,13.0,10,28
44021,Friday,21.75,6.0,5,20
44022,Thursday,21.75,1.0,1,14
44023,Thursday,18.75,6.0,4,20
44024,Tuesday,5.75,6.0,6,13
44025,Friday,19.75,12.0,7,45
44026,Thursday,17.75,8.0,5,25
44027,Friday,20.75,13.0,9,39
44028,Wednesday,2.75,14.0,10,27
44029,Thursday,13.75,5.0,3,30
44030,Tuesday,23.75,1.0,1,8
44031,Thursday,18.75,14.0,8,44
44032,Thursday,21.75,9.0,7,23
44033,Saturday,23.75,6.0,3,31
44034,Friday,22.75,10.0,5,38
44035,Monday,23.75,4.0,3,16
44036,Thursday,10.75,12.0,6,33
44037,Thursday,19.75,4.0,3,15
44038,Sunday,17.75,14.0,8,40
44039,Friday,17.75,2.0,2,8
44040,Friday,3.75,13.0,9,32
44041,Thursday,21.75,10.0,9,15
44042,Thursday,18.75,13.0,10,37
44043,Friday,4.75,15.0,9,31
44044,Friday,0.75,7.0,7,12
44045,Wednesday,22.75,6.0,5,17
44046,Thursday,23.75,2.0,2,13
44047,Tuesday,17.75,11.0,8,29
44048,Monday,15.75,7.0,4,22
44049,Thursday,19.75,10.0,6,31
44050,Tuesday,22.75,3.0,3,12
44051,Friday,18.75,12.0,10,32
44052,Monday,13.75,9.0,6,30
44053,Tuesday,19.75,6.0,5,17
44054,Wednesday,22.75,13.0,7,41
44055,Saturday,8.75,3.0,1,33
44056,Thursday,20.75,14.0,10,25
44057,Friday,7.75,6.0,3,36
44058,Monday,21.75,9.0,7,21
44059,Thursday,22.75,3.0,3,14
44060,Friday,19.75,1.0,1,9
44061,Tuesday,10.75,10.0,8,40
44062,Wednesday,7.75,12.0,10,17
44063,Wednesday,13.75,12.0,7,38
44064,Wednesday,1.75,16.0,9,32
44065,Sunday,22.75,10.0,7,30
44066,Sunday,1.75,11.0,8,23
44067,Friday,5.75,14.0,9,33
44068,Tuesday,10.75,7.0,6,19
44069,Thursday,9.75,11.0,7,25
44070,Sunday,19.75,5.0,3,21
44071,Friday,10.75,5.0,5,10
44072,Wednesday,14.75,14.0,8,38
44073,Thursday,18.75,7.0,5,49
44074,Monday,14.75,5.0,3,30
44075,Thursday,12.75,10.0,6,40
44076,Friday,19.75,11.0,9,15
44077,Thursday,13.75,2.0,2,10
44078,Wednesday,17.75,17.0,9,33
44079,Thursday,20.75,8.0,7,29
44080,Sunday,21.75,4.0,2,33
44081,Saturday,15.75,17.0,10,37
44082,Wednesday,12.75,8.0,6,27
44083,Wednesday,19.75,10.0,10,18
44084,Thursday,1.75,13.0,9,31
44085,Thursday,19.75,7.0,6,31
44086,Friday,20.75,12.0,8,47
44087,Tuesday,8.75,3.0,2,16
44088,Wednesday,12.75,7.0,5,42
44089,Friday,18.75,6.0,4,33
44090,Thursday,19.75,4.0,2,21
44091,Friday,7.75,10.0,6,34
44092,Friday,20.75,15.0,8,45
44093,Wednesday,18.75,1.0,1,18
44094,Saturday,6.75,12.0,7,37
44095,Thursday,14.75,6.0,4,29
44096,Thursday,21.75,5.0,4,20
44097,Saturday,17.75,1.0,1,9
44098,Monday,4.75,1.0,1,6
44099,Sunday,20.75,14.0,7,34
44100,Wednesday,19.75,15.0,9,37
44101,Monday,19.75,3.0,3,12
44102,Thursday,15.75,3.0,2,16
44103,Thursday,19.75,5.0,5,17
44104,Friday,14.75,8.0,7,21
44105,Tuesday,20.75,2.0,2,14
44106,Sunday,1.75,10.0,7,32
44107,Wednesday,1.75,13.0,9,35
44108,Saturday,3.75,4.0,2,23
44109,Thursday,22.75,11.0,8,36
44110,Thursday,20.75,10.0,10,18
44111,Sunday,19.75,9.0,9,14
44112,Friday,19.75,4.0,2,41
44113,Thursday,3.75,1.0,1,8
44114,Wednesday,18.75,8.0,6,28
44115,Monday,19.75,4.0,4,18
44116,Tuesday,17.75,10.0,5,43
44117,Thursday,18.75,12.0,9,23
44118,Monday,1.75,16.0,9,31
44119,Thursday,12.75,7.0,4,39
44120,Tuesday,20.75,1.0,1,8
44121,Wednesday,16.75,1.0,1,15
44122,Friday,17.75,5.0,3,25
44123,Tuesday,20.75,4.0,2,47
44124,Saturday,20.75,10.0,8,27
44125,Sunday,20.75,14.0,8,46
44126,Sunday,16.75,9.0,7,24
44127,Thursday,21.75,2.0,2,11
44128,Friday,13.75,10.0,6,28
44129,Friday,9.75,6.0,5,25
44130,Wednesday,5.75,3.0,3,6
44131,Thursday,9.75,8.0,6,23
44132,Thursday,19.75,7.0,6,19
44133,Monday,22.75,4.0,3,24
44134,Thursday,0.75,3.0,3,10
44135,Thursday,16.75,14.0,10,37
44136,Thursday,20.75,11.0,10,24
44137,Monday,14.75,8.0,4,41
44138,Monday,21.75,12.0,8,44
44139,Thursday,16.75,4.0,4,15
44140,Wednesday,18.75,14.0,10,44
44141,Thursday,14.75,8.0,7,25
44142,Wednesday,23.75,5.0,4,31
44143,Thursday,2.75,10.0,9,15
44144,Friday,20.75,10.0,9,16
44145,Tuesday,6.75,7.0,5,21
44146,Saturday,14.75,1.0,1,12
44147,Thursday,7.75,11.0,10,25
44148,Friday,15.75,12.0,8,37
44149,Thursday,21.75,2.0,2,12
44150,Friday,0.75,7.0,5,25
44151,Friday,18.75,3.0,1,45
44152,Thursday,20.75,3.0,3,12
44153,Wednesday,17.75,9.0,8,26
44154,Wednesday,21.75,4.0,2,35
44155,Sunday,7.75,9.0,9,11
44156,Thursday,15.75,11.0,8,37
44157,Friday,9.75,10.0,9,23
44158,Tuesday,18.75,9.0,7,32
44159,Thursday,12.75,9.0,7,27
44160,Thursday,19.75,8.0,8,15
44161,Friday,2.75,8.0,7,24
44162,Wednesday,18.75,15.0,10,31
44163,Thursday,11.75,3.0,3,11
44164,Thursday,20.75,12.0,8,37
44165,Friday,23.75,1.0,1,9
44166,Thursday,19.75,8.0,6,27
44167,Thursday,6.75,11.0,8,35
44168,Friday,19.75,10.0,6,43
44169,Thursday,6.75,5.0,3,23
44170,Tuesday,18.75,4.0,4,8
44171,Thursday,15.75,1.0,1,11
44172,Thursday,19.75,3.0,1,30
44173,Tuesday,16.75,14.0,9,32
44174,Wednesday,19.75,7.0,5,29
44175,Thursday,14.75,1.0,1,13
44176,Tuesday,21.75,15.0,10,26
44177,Thursday,9.75,11.0,6,41
44178,Thursday,20.75,14.0,7,30
44179,Thursday,19.75,16.0,10,29
44180,Thursday,18.75,11.0,10,28
44181,Thursday,20.75,14.0,10,31
44182,Wednesday,23.75,12.0,10,22
44183,Wednesday,21.75,4.0,4,16
44184,Friday,14.75,1.0,1,11
44185,Tuesday,12.75,6.0,5,13
44186,Thursday,12.75,11.0,7,43
44187,Monday,16.75,6.0,5,29
44188,Friday,13.75,6.0,4,38
44189,Tuesday,19.75,3.0,3,13
44190,Thursday,15.75,7.0,4,29
44191,Thursday,11.75,19.0,8,42
44192,Saturday,22.75,12.0,6,36
44193,Friday,21.75,14.0,10,33
44194,Tuesday,21.75,7.0,4,37
44195,Thursday,18.75,1.0,1,11
44196,Sunday,17.75,15.0,10,40
44197,Wednesday,18.75,2.0,2,9
44198,Wednesday,13.75,6.0,6,14
44199,Wednesday,19.75,11.0,10,32
44200,Thursday,17.75,8.0,6,27
44201,Thursday,13.75,8.0,6,27
44202,Wednesday,19.75,3.0,1,41
44203,Tuesday,17.75,6.0,5,18
44204,Wednesday,21.75,3.0,3,11
44205,Friday,16.75,12.0,6,32
44206,Monday,13.75,10.0,8,38
44207,Friday,1.75,6.0,5,23
44208,Thursday,20.75,11.0,8,25
44209,Friday,19.75,13.0,9,32
44210,Saturday,22.75,4.0,2,37
44211,Friday,19.75,12.0,10,29
44212,Tuesday,18.75,3.0,1,22
44213,Thursday,10.75,3.0,3,12
44214,Monday,19.75,3.0,1,19
44215,Sunday,23.75,11.0,8,40
44216,Sunday,7.75,7.0,5,23
44217,Thursday,2.75,13.0,8,41
44218,Wednesday,7.75,12.0,9,23
44219,Friday,21.75,6.0,5,17
44220,Sunday,19.75,7.0,7,16
44221,Saturday,13.75,12.0,9,23
44222,Sunday,23.75,14.0,9,28
44223,Thursday,14.75,15.0,10,37
44224,Friday,18.75,11.0,8,32
44225,Sunday,19.75,1.0,1,15
44226,Monday,11.75,2.0,1,26
44227,Saturday,6.75,10.0,8,13
44228,Tuesday,17.75,11.0,10,16
44229,Sunday,21.75,11.0,8,36
44230,Friday,17.75,9.0,7,21
44231,Friday,12.75,7.0,6,24
44232,Thursday,21.75,8.0,4,32
44233,Thursday,4.75,3.0,2,22
44234,Thursday,18.75,6.0,6,14
44235,Sunday,20.75,1.0,1,15
44236,Wednesday,19.75,1.0,1,18
44237,Sunday,20.75,10.0,9,28
44238,Wednesday,20.75,10.0,10,13
44239,Saturday,18.75,2.0,1,17
44240,Monday,19.75,8.0,4,44
44241,Thursday,21.75,14.0,10,32
44242,Monday,9.75,9.0,6,24
44243,Friday,21.75,10.0,9,12
44244,Wednesday,7.75,3.0,2,14
44245,Friday,19.75,10.0,6,41
44246,Wednesday,15.75,9.0,4,30
44247,Friday,21.75,11.0,6,39
44248,Monday,18.75,1.0,1,12
44249,Wednesday,13.75,14.0,8,36
44250,Thursday,20.75,2.0,1,24
44251,Monday,20.75,12.0,8,44
44252,Friday,22.75,10.0,5,24
44253,Thursday,16.75,4.0,4,15
44254,Thursday,3.75,4.0,4,10
44255,Friday,9.75,14.0,8,31
44256,Thursday,8.75,9.0,5,37
44257,Wednesday,13.75,6.0,4,26
44258,Wednesday,17.75,12.0,8,36
44259,Friday,18.75,2.0,2,13
44260,Monday,22.75,15.0,8,24
44261,Saturday,19.75,5.0,3,22
44262,Monday,22.75,2.0,2,15
44263,Thursday,10.75,9.0,4,28
44264,Saturday,8.75,13.0,9,20
44265,Thursday,9.75,3.0,2,26
44266,Saturday,10.75,3.0,3,7
44267,Friday,15.75,12.0,10,27
44268,Monday,13.75,11.0,8,35
44269,Friday,18.75,2.0,2,13
44270,Sunday,20.75,14.0,10,22
44271,Thursday,20.75,6.0,4,20
44272,Sunday,19.75,2.0,2,11
44273,Monday,13.75,6.0,5,15
44274,Sunday,17.75,8.0,5,39
44275,Tuesday,17.75,2.0,2,14
44276,Saturday,5.75,8.0,5,33
44277,Friday,13.75,7.0,6,17
44278,Thursday,10.75,4.0,4,11
44279,Sunday,17.75,5.0,3,38
44280,Sunday,9.75,16.0,9,35
44281,Thursday,1.75,14.0,9,34
44282,Monday,23.75,5.0,4,12
44283,Thursday,13.75,8.0,4,38
44284,Sunday,18.75,6.0,4,28
44285,Tuesday,1.75,4.0,4,8
44286,Monday,12.75,4.0,3,24
44287,Thursday,0.75,9.0,5,39
44288,Wednesday,20.75,1.0,1,14
44289,Sunday,20.75,7.0,3,30
44290,Wednesday,17.75,8.0,5,25
44291,Saturday,18.75,9.0,6,42
44292,Thursday,13.75,7.0,6,13
44293,Thursday,19.75,17.0,10,41
44294,Thursday,20.75,4.0,4,12
44295,Thursday,10.75,6.0,5,15
44296,Tuesday,18.75,7.0,5,30
44297,Thursday,11.75,8.0,7,22
44298,Thursday,18.75,8.0,8,14
44299,Tuesday,18.75,9.0,8,15
44300,Thursday,19.75,11.0,7,35
44301,Friday,12.75,14.0,10,30
44302,Wednesday,19.75,14.0,7,30
44303,Thursday,23.75,11.0,8,41
44304,Sunday,11.75,5.0,5,12
44305,Wednesday,21.75,12.0,9,26
44306,Friday,15.75,9.0,7,30
44307,Friday,19.75,8.0,6,33
44308,Thursday,13.75,3.0,3,10
44309,Sunday,10.75,7.0,4,30
44310,Tuesday,17.75,3.0,2,26
44311,Thursday,20.75,2.0,2,16
44312,Monday,16.75,2.0,1,18
44313,Friday,21.75,9.0,5,23
44314,Wednesday,18.75,10.0,7,25
44315,Thursday,14.75,1.0,1,11
44316,Thursday,14.75,13.0,10,44
44317,Thursday,19.75,7.0,5,37
44318,Tuesday,17.75,4.0,4,12
44319,Saturday,20.75,11.0,8,44
44320,Friday,8.75,4.0,3,16
44321,Saturday,8.75,9.0,5,37
44322,Friday,6.75,1.0,1,15
44323,Monday,12.75,15.0,9,41
44324,Monday,22.75,8.0,7,21
44325,Saturday,20.75,5.0,4,19
44326,Friday,13.75,14.0,9,45
44327,Thursday,20.75,12.0,8,42
44328,Saturday,1.75,2.0,1,24
44329,Wednesday,16.75,15.0,8,37
44330,Thursday,17.75,8.0,5,24
44331,Saturday,18.75,1.0,1,9
44332,Friday,17.75,16.0,9,42
44333,Wednesday,12.75,1.0,1,10
44334,Wednesday,22.75,12.0,9,35
44335,Wednesday,20.75,1.0,1,7
44336,Monday,18.75,10.0,7,31
44337,Saturday,20.75,12.0,6,29
44338,Wednesday,12.75,9.0,8,17
44339,Friday,13.75,3.0,2,11
44340,Monday,15.75,14.0,8,40
44341,Saturday,7.75,8.0,6,20
44342,Monday,0.75,4.0,4,9
44343,Wednesday,8.75,10.0,8,23
44344,Thursday,1.75,13.0,7,26
44345,Thursday,15.75,7.0,5,27
44346,Friday,13.75,3.0,3,13
44347,Wednesday,15.75,7.0,6,22
44348,Friday,13.75,7.0,6,29
44349,Tuesday,11.75,5.0,3,15
44350,Sunday,12.75,14.0,9,40
44351,Thursday,16.75,11.0,7,28
44352,Monday,19.75,3.0,3,15
44353,Thursday,17.75,8.0,7,16
44354,Friday,20.75,7.0,4,41
44355,Saturday,22.75,6.0,6,11
44356,Thursday,7.75,5.0,3,34
44357,Thursday,12.75,4.0,4,15
44358,Friday,19.75,15.0,10,30
44359,Friday,16.75,6.0,6,12
44360,Thursday,19.75,8.0,4,45
44361,Saturday,14.75,6.0,6,14
44362,Thursday,19.75,4.0,2,37
44363,Monday,23.75,3.0,1,38
44364,Thursday,16.75,12.0,8,35
44365,Wednesday,10.75,5.0,5,11
44366,Wednesday,19.75,17.0,10,43
44367,Tuesday,6.75,5.0,3,25
44368,Wednesday,9.75,5.0,4,19
44369,Tuesday,2.75,12.0,8,35
44370,Sunday,7.75,7.0,5,33
44371,Wednesday,14.75,9.0,5,36
44372,Tuesday,12.75,11.0,9,26
44373,Saturday,13.75,4.0,3,16
44374,Friday,17.75,6.0,4,17
44375,Thursday,13.75,10.0,10,15
44376,Friday,20.75,3.0,1,42
44377,Sunday,23.75,10.0,8,31
44378,Tuesday,16.75,13.0,7,34
44379,Thursday,19.75,13.0,9,31
44380,Thursday,18.75,4.0,4,13
44381,Thursday,1.75,9.0,6,37
44382,Monday,15.75,7.0,4,44
44383,Wednesday,12.75,15.0,10,37
44384,Thursday,23.75,4.0,4,9
44385,Thursday,23.75,4.0,2,20
44386,Tuesday,22.75,7.0,6,11
44387,Sunday,13.75,3.0,3,11
44388,Friday,10.75,6.0,4,22
44389,Friday,9.75,5.0,5,10
44390,Monday,17.75,10.0,8,30
44391,Thursday,20.75,12.0,10,32
44392,Wednesday,18.75,3.0,1,18
44393,Monday,15.75,2.0,2,15
44394,Saturday,15.75,4.0,3,12
44395,Wednesday,18.75,6.0,4,32
44396,Tuesday,22.75,3.0,2,31
44397,Sunday,23.75,1.0,1,8
44398,Friday,19.75,1.0,1,9
44399,Thursday,6.75,13.0,9,32
44400,Tuesday,23.75,3.0,3,10
44401,Friday,15.75,1.0,1,7
44402,Friday,6.75,12.0,10,19
44403,Friday,4.75,11.0,10,13
44404,Saturday,23.75,10.0,8,21
44405,Thursday,20.75,5.0,5,15
44406,Sunday,15.75,1.0,1,6
44407,Wednesday,9.75,9.0,7,35
44408,Thursday,9.75,14.0,10,28
44409,Thursday,11.75,5.0,5,10
44410,Saturday,8.75,10.0,8,11
44411,Sunday,22.75,8.0,7,15
44412,Friday,17.75,11.0,9,30
44413,Thursday,20.75,8.0,6,22
44414,Wednesday,20.75,3.0,2,16
44415,Tuesday,3.75,2.0,2,10
44416,Thursday,13.75,2.0,2,14
44417,Tuesday,9.75,7.0,4,37
44418,Friday,19.75,11.0,9,41
44419,Tuesday,18.75,8.0,8,13
44420,Thursday,22.75,8.0,5,40
44421,Saturday,14.75,1.0,1,8
44422,Monday,19.75,13.0,8,48
44423,Thursday,14.75,10.0,7,28
44424,Tuesday,23.75,9.0,7,20
44425,Sunday,19.75,1.0,1,13
44426,Thursday,22.75,15.0,7,45
44427,Tuesday,21.75,10.0,7,25
44428,Monday,19.75,11.0,9,27
44429,Wednesday,21.75,14.0,8,44
44430,Saturday,23.75,12.0,8,28
44431,Thursday,10.75,1.0,1,12
44432,Friday,7.75,3.0,3,11
44433,Friday,20.75,5.0,3,34
44434,Saturday,19.75,8.0,8,14
44435,Monday,13.75,5.0,3,19
44436,Saturday,19.75,1.0,1,12
44437,Monday,20.75,7.0,4,19
44438,Tuesday,14.75,3.0,2,23
44439,Sunday,18.75,13.0,9,35
44440,Thursday,14.75,6.0,4,39
44441,Saturday,20.75,15.0,10,35
44442,Friday,1.75,7.0,5,17
44443,Thursday,22.75,9.0,5,28
44444,Friday,1.75,8.0,8,13
44445,Friday,12.75,2.0,2,8
44446,Thursday,23.75,4.0,4,12
44447,Thursday,18.75,8.0,6,21
44448,Sunday,17.75,11.0,9,25
44449,Friday,12.75,11.0,6,39
44450,Friday,18.75,11.0,9,33
44451,Monday,6.75,10.0,6,22
44452,Thursday,23.75,6.0,5,18
44453,Thursday,22.75,7.0,3,38
44454,Tuesday,18.75,16.0,10,41
44455,Sunday,20.75,11.0,6,36
44456,Tuesday,15.75,15.0,10,28
44457,Monday,23.75,7.0,7,12
44458,Thursday,1.75,4.0,2,28
44459,Thursday,23.75,9.0,6,40
44460,Saturday,12.75,4.0,2,21
44461,Wednesday,20.75,8.0,7,24
44462,Monday,14.75,3.0,2,24
44463,Saturday,10.75,14.0,8,42
44464,Thursday,19.75,9.0,8,17
44465,Friday,15.75,13.0,10,30
44466,Monday,22.75,11.0,5,31
44467,Wednesday,0.75,8.0,5,23
44468,Thursday,23.75,9.0,4,38
44469,Tuesday,22.75,12.0,8,45
44470,Saturday,17.75,11.0,7,38
44471,Tuesday,23.75,7.0,5,26
44472,Wednesday,13.75,11.0,9,17
44473,Saturday,21.75,2.0,1,20
44474,Saturday,18.75,10.0,8,33
44475,Monday,13.75,6.0,3,24
44476,Saturday,10.75,21.0,10,42
44477,Thursday,13.75,2.0,2,9
44478,Saturday,2.75,11.0,8,24
44479,Monday,12.75,11.0,8,19
44480,Friday,18.75,11.0,6,46
44481,Tuesday,14.75,12.0,8,30
44482,Monday,22.75,13.0,10,24
44483,Sunday,6.75,9.0,6,25
44484,Tuesday,13.75,12.0,8,21
44485,Thursday,19.75,6.0,3,47
44486,Friday,13.75,11.0,8,43
44487,Friday,10.75,8.0,6,40
44488,Thursday,12.75,9.0,5,40
44489,Tuesday,19.75,14.0,8,42
44490,Monday,2.75,3.0,3,9
44491,Wednesday,16.75,14.0,9,26
44492,Tuesday,19.75,15.0,9,32
44493,Thursday,4.75,14.0,9,24
44494,Monday,19.75,9.0,6,23
44495,Thursday,4.75,2.0,2,14
44496,Thursday,14.75,12.0,6,42
44497,Friday,18.75,5.0,4,11
44498,Thursday,12.75,8.0,5,26
44499,Thursday,20.75,2.0,2,18
44500,Thursday,12.75,1.0,1,6
44501,Friday,22.75,8.0,6,33
44502,Sunday,16.75,9.0,5,24
44503,Friday,20.75,8.0,6,21
44504,Friday,15.75,13.0,10,34
44505,Tuesday,6.75,5.0,4,16
44506,Saturday,21.75,9.0,7,18
44507,Thursday,1.75,10.0,7,27
44508,Friday,13.75,8.0,6,25
44509,Thursday,16.75,2.0,1,21
44510,Saturday,21.75,14.0,10,41
44511,Thursday,15.75,5.0,5,15
44512,Saturday,16.75,11.0,8,44
44513,Thursday,20.75,12.0,7,45
44514,Wednesday,20.75,1.0,1,8
44515,Monday,11.75,3.0,1,39
44516,Sunday,20.75,7.0,5,31
44517,Tuesday,22.75,13.0,10,27
44518,Friday,15.75,9.0,6,22
44519,Friday,22.75,9.0,7,19
44520,Wednesday,15.75,13.0,8,44
44521,Friday,15.75,12.0,10,20
44522,Monday,4.75,6.0,3,34
44523,Friday,14.75,7.0,5,43
44524,Tuesday,20.75,6.0,3,42
44525,Monday,15.75,10.0,8,21
44526,Monday,19.75,5.0,3,35
44527,Saturday,14.75,16.0,9,36
44528,Wednesday,14.75,1.0,1,13
44529,Saturday,18.75,7.0,3,41
44530,Saturday,14.75,12.0,8,35
44531,Saturday,19.75,5.0,3,18
44532,Sunday,5.75,14.0,9,38
44533,Wednesday,20.75,13.0,9,38
